STT,address,point,tier
141,0xb96bc75c068b09370de42406bba20747694fd331c182c3cd6836ad7ef038c6ea,2057500,Premium
142,0xe6254ecc77816f04c8b721f65b1b4bf6a87313599c41580bc10c476b5d255bd3,2057500,Premium
143,0x43e146082b49704be832983ecbbd1c875fb4f5c4c181f256c021ae1c6bafd8d4,1972500,Premium
144,0xbbd9d4f12e5850d62875fa4699f23236b8b5d56226b471becec7b3fdf713dd6f,1740000,Plus
145,0x32451e60de1d425eb82211014bd9bb6c55dd8c28c7aad5d8584158e4bee8c6b7,1972500,Premium
146,0xcd53559b7ff27e6b2f4598b0bd8ba9e67bec626fff377cfa4675d5bc1d002b97,1972500,Premium
147,0xc1066d4113ba13fd43714035e4cc6b3ee5fb249df2058e54eba0e1110748da8f,1470000,Plus
148,0xb1929ea695b41982118294fca23e54743be1507794a5a9b2adecdb1fbbf0cb7f,1972500,Premium
149,0x7e33494a2f991ba24d98d31d2ffa7e4c5b86e872220a2da5a766f6657f60b1f2,1972500,Premium
150,0x524857484f88860388cf7fcf279a557fe3a9e6273c8ead3012ae01d89564ca79,1972500,Premium
151,0x1cd6341a802ddbdafff48a9a089425e6b8afc13cdda642cec3ce3aec1a43e3f7,1582500,Plus
152,0xf0e29f37d74b90a0b91e7ef9e1f4ce71e1d5b106b69bbbfb6318188c0c527544,1972500,Premium
153,0x98f9b0a09471ae827845b289ad7b4c85090c8adbab2747e7891db853c376c422,1582500,Plus
154,0x2ef44df78cf4f275c1da54de9c7b06e934e9f0491ca762e3c249bacbf1dd48c6,1582500,Plus
155,0x8a2e9028cb8c9d6de9ccf03b6ec49dbfb97436dbd111da573c7ea204c9f48783,1582500,Plus
156,0x36fe77f3584c8c00f44c53ff791f180f69593448f47331c792accee646cb4133,1582500,Plus
157,0xf1b99d2f000e4c9d3c4c42f903047d82d4082bc2cde9ebe5a7372433ea72a6e7,1972500,Premium
158,0x6aa704f049ac628af9b92906e633b84835ff647e928df5006cf61608b30e76e5,1972500,Premium
159,0xaf5f6a14426ae4b6fdbd151c4e2b06a58d5c03e410c38b29788b538a5706b07b,1582500,Plus
160,0x99ad0cb9b18e338477065a2b64a79253bacc38d265b7c8c5e5cdc8a9ab108e69,1957500,Premium
161,0xa4ab05b72bfab94cee7148c762469dcad395c790f047756433de71adfd7979dc,1582500,Plus
162,0x45b63221fdfdc797379bb1ff862dbeaca77bbcefed1e4d0f4bee3a2520db9866,1972500,Premium
163,0xc9e68578f22685fcce1484a2f7e4051ebe706c1791d5046c4449d6aa397d81a2,1972500,Premium
164,0xa0a9663a52439d8b79b0cb6846e41783bab40f5e02fda581fb4c301f1e2761d3,1112500,Plus
165,0xd7ad4b859dfed9f5e795b1c2fadea5bebc65e64598006ba5fec5d7e4dc6349d8,1957500,Premium
166,0xd7e14f5d29fa4364344faebce0b1629ffda9b43b41bcf0067b517a9538905b1e,2042500,Premium
167,0x0a30bbb0d023f8a86c7e22dc0ba97b7ebbdc0de9a052c44013afb5455c5bf516,2042500,Premium
168,0x8c448c8a2aaebffc092cce5b911cd5eda7f199ea43da9ac2e6799339dfe57717,2042500,Premium
169,0x5741cc175981e27eaf8b7092502b6d2e59ecea503a5654fb091f30cbde84e925,2042500,Premium
170,0xafedcb42acf955de45ac85fbb7fb88ecf9e02b8b5d8dfa8fcf89f8e067d0602e,2042500,Premium
171,0x914c736f18f27de4c1038e2b3a930cc8b4ddefdfd9ac0456985db6ffd3a3c339,1957500,Premium
172,0xc0f6cc825402163538a37a4165e82966a336093e10586e4f6087afa4a4c4cc70,1957500,Premium
173,0xdac037db1568b70c0f5aaf5aa8d8d96aac04fe0583a2b7b55b9dd7ad6d49b508,1327500,Plus
174,0x0421362c30238947b7d21d2705e52e81325030e8e21a76690b7ef481c8aca273,1190000,Plus
175,0x15191cb81f549239f53015f6e8c7700d43f882d6fbda6ecb5538908cd056f2fd,2042500,Premium
176,0xf91f254994fcb97129e532ef2e535486e1d602971e16d0ea2f356bfec9775c27,2042500,Premium
177,0xfbbd1be476c15ff9f29887a9a995d061374b72f0c9262415eb8f5624309ee832,1290000,Plus
178,0x92c99bb640164380adf33470cd2d209c4638f0ef6edcf73d913d7c3614dd3dce,1942500,Premium
179,0x2691b7a8034b317ec98b6b5427357e89fb17ae33012fffaa4498a52a20de14e4,1535000,Plus
180,0xd07c78bf876afe33b3904e7144beade9f3fa55e7683172cc230e687cb1f958b4,1942500,Premium
181,0xd4fe352c9a54bf2c874795ff2799d3453d2fa8f8ccc632debc2b713461f10a58,1535000,Plus
182,0x496db878e7bda30912b8b748c7137194f37234233a465908b4b26e8905557b54,1942500,Premium
183,0x742e9cbc2cbdf4ead21efbe0fbd21d143f91a72039419a17eb27590b4ba220e2,1942500,Premium
184,0x06c09f2a98036746fab0a164736c9b682e186cf8b9bdad528412b6770226816e,1942500,Premium
185,0x0b459cf40f6613d4514e64fd96166c6158d881869a9255a3feec23deab2d4a75,1942500,Premium
186,0xd50d17875843228d4f831768cf1ff54273fb693a078d84b0060bcd698ccf321a,1942500,Premium
187,0xb726b6ecc2675f507e62e8ee775223ec751c50f1f14da42e22135ffe1634cab5,1942500,Premium
188,0xe3dfac8a64bd4872900e0d1b762370771afcdb39e78c58e4413ec2ebfea56afd,1942500,Premium
189,0x0a1fe699123ab88e2f35bb513d37fa474a1fc66fce061f684912aa6e9ac407ba,1942500,Premium
190,0x2b3bc8f20e04752f135e092bb2505f995267c2ec06a2f0f30bc2b8936678ff5f,1440000,Plus
191,0x94e9810c4376880afd3e8c36ed82ae541f6d48e3d28490466e2488befba0bc92,1310000,Plus
192,0xc9bcf081f1cf99bc563669840765eeb800897ee3cfc77376302b24ed8359d548,1310000,Plus
193,0xa273a09e45acf89d6019d80fd2448ce2325b666cd3e56991e69d9c9cfcb9ad9d,1440000,Plus
194,0x47aaec0243faeaddf86ecf753eac616c1014772bb3bc36957ba5df2b6bea881f,1957500,Premium
195,0xbef5f70dd24732d904e4db34fb13febfae789520bd5dce6937e09d01fb8b5ba3,0,None
196,0xced051ba671065da8020809b117e1e60efd0d0aace9e644b1f9ad208101f8972,1942500,Premium
197,0x3e6e2f23ad0c163fbdb0a1002bc4c5d30db73e1d3c11b6d9bf181c0ad0d96188,1942500,Premium
198,0x5787de3992d15c114a9831cc326bf920fd8c3a334151197ae4ec1367974e6b68,1942500,Premium
199,0x2173c8cf753a1f5855d3da147601ddf737aa7e019cd5d55a6a2933e0e5b380bc,1365000,Plus
200,0x0cf1681928855576867844918c84a3cccedb4b15d3ad8de06d70bd87a2062f12,3595000,Business
201,0x8d580ad5868b069a50810307d1ed9d5ac17b93e4c96cf6fbbb8d3657a60839d3,2692500,Business
202,0x7b8dede2de85edbc3108cbc2cfa1bbde467b55adda621d341cace3122f1d5ca1,3595000,Business
203,0xd9f3769148035acf412fbf847fef7d3db04a9d698782e822be380a4682cc6997,3595000,Business
204,0x90d1d9e51ee5e6cc5d62a80369b4877ef09440bbc228193e3a2a2042e52d8bc4,3730000,Business
205,0x6b9ddcaf37f9b07d21dd5dbaeb0a4f43c8c2d7efd43e533913914fe7a265b0f8,3730000,Business
206,0x6017fd05d688f275503c6960a86f63a3c0d815e78b03830fcdfeff0a5725fc41,3730000,Business
207,0x21d90bf618f41dede73d9df015322e31f870bce198fa3f45b7e067ae3ff6014d,3730000,Business
208,0xa2c64c7ce0c8aabb3287e8d9887c66b7e8aa4b916c81162b7b61925b5a858c4e,3730000,Business
209,0x75f7f459ee7707c02b89f2f7d08991dda49b10f71226667f6eac3f7c8d4a3c6b,3730000,Business
210,0x64499d5f9ca95c2ba5b4479db43d9dd5e8cd2296d98ef4447459a05e1738fcfc,3730000,Business
211,0x9a0b537cb4cd1d97ea12c28ae7ac7185f983be422d53fe3e773e63482cf64832,3730000,Business
212,0xd3d1100679f4fc6a02fef82e96ff8302868b6ef0913fc4792b779e1033f2cb4e,3730000,Business
213,0x4b9ff6f2826a08c5c2e4b35cd734a32c7a92a2bc443259b3430e08e869a7ebf4,3730000,Business
214,0xe7f411729adc5429b1f8590f28c74b6e827dbcaf78109ec50111446cf633228c,3745000,Business
215,0x10577de07d559a20eb2c5aae38b2d661756e6f2db834384445ce533368ebbe6b,3715000,Business
216,0x20dc0980d2bf58ea3d2e65f6270df456fce695247476802dad3ce9d1d8e447bb,3730000,Business
217,0x9aa55dbd2f51d5f1d362e4b36cf36d27e198dcd53ee27232e4396398fabf6b2a,2205000,Premium
218,0x2f3bc933ea533197d486836bfcf0b452c8cbb5510193eb206fc1ccc1f8b796b7,3730000,Business
219,0x080901b12a30c98f925c5e75ef594b14a83fc671521c9a12d77f513fc0a757bc,3595000,Business
220,0xaa11c669fec3833df74448f264614ece4e1e97b1e95bf72b229185694abbb5af,2205000,Premium
221,0x41b471178a409fd8859b7a3c04b141186a2786d0cbd5d7a9d935f82283358e4e,3730000,Business
222,0xed20f98b954eacd8811e7db13cc12b85238a8c8bad44ddc0e05b8638eabf784f,3730000,Business
223,0x9f7bffc592ac0b9392ae248fa81b69ef7897fd25269a1300b555b728c5436d0b,2545000,Business
224,0x1333c3c51c21f92514afbe501d5368e80f055eaeb251fe9e14f8053ded8e7183,2545000,Business
225,0x63a972c9536d96b9d60d51bd83f26ebc070b09ff1b450f9369286a4304c6e404,2545000,Business
226,0xd85604d4e3b97218e35c0c55b01d779c251ee8a5303e3c7060f44fcecbe106bc,3730000,Business
227,0x585a544c188459a6fca50ef62a38b73ea8421d3c1e2ff1a42d624f180dc97d79,3730000,Business
228,0x387555cda63af0ab33979cacc4d621cef99c6fc56fb57af4d88df30481833986,2545000,Business
229,0x9bf9dfabeaa8267381d572c6a8fdb810e74d0684bfb2aa9815eaa618e82aef69,2550000,Business
230,0x69b99446798e8746baa11e86b382d591a4619d56f31d056a512377be170fd106,2715000,Business
231,0x20a664c4ce484475b146dbc69ffd5c993ccc69c83630299921a43b0eb7064d81,3735000,Business
232,0x4b332fbc05850c3441d9ee25393380314ac75a8dd8261d20484ba7748bc38416,3730000,Business
233,0xf715ddaf882d1134fbf7800e6171a917a356496211d2587b1e9e0681d5347d51,3730000,Business
234,0xdcfd49ab75b49effeb010f464aa1cdd72b1b1f44b628cf76eb872b87a5b3d122,3115000,Business
235,0x3f13bad4577c2826ce661707e5f70ac5b9472537a3b752cbaa6e2405415c8bb9,3730000,Business
236,0xfb7ad713c1a439808d27a3944bd0f89a5a13d2bb1cd6691e52d6e8ae3ee44300,2627500,Business
237,0x99db727538b6f189c30bd0258071571e76a531217419a0392259569d5c748bd5,3730000,Business
238,0x6c376c322c06d1b2b4294a436e04616e061df274e355f37d517c573ee5574121,3730000,Business
239,0x4e1e7de14283221a3ffb5fd7b70e7d9860f1166a3bf5015afbf68dd9186bc508,2467500,Premium
240,0x7a6ee4bec68f96260952badcd160fdec40b1ac33749ea6764fdaf135c6d4a233,2472500,Premium
241,0x2423758463f43f3294e57f72441b4f1a1336163065286f0e4290fe0924a91b94,3730000,Business
242,0xded1ff4fc650edf6b6d7c5f16af3fdaaaabbae0463cade5ce0ea0737d4e90137,3730000,Business
243,0x08a586b8cead0cc3bed7fbae57d03dd30c5288789ce94c612cfa113cec4e8dfd,3730000,Business
244,0xc70aa025300a6bf0ffd634dbf981df6022d00fb013d435c102c3b70fc0afa42b,2467500,Premium
245,0x3f1f2b4337774fa8b19df19021c20a863974b0db6ed7358b1c9fd880a2cc0666,3730000,Business
246,0x2d1b51384829df825cd99121a9cfc08f116f9b9499b5f0531a9da3d2c06f54fb,3730000,Business
247,0x0e0c5837e9e22e04c146efee79064fc258ea32cbc3353e1729d49971a1efe6b9,3730000,Business
248,0xbd7a6c15861bdd491b6b8cea6ca139cd4a435b56795800301a305b524c6023d1,3730000,Business
249,0x0764e70fc457945aee00523b5d733c41e3c4a0c8444817ed3ca421904cf1006a,2627500,Business
250,0x9a38161215734db6040d04f620167f0ea5e21e17de048cee31d6605dcebd0b26,3337500,Business
251,0x042d261c4da290dfcf615cabbb83848b1a3982eba24f79367f57477027a9f601,3337500,Business
252,0x046d6b0da4ee759a4a74ed1c90dfe7630be1683ffb85cdf7cc01f27828c5eeeb,3337500,Business
253,0x1145c978f23cd47bd7d7b81a78e4dc90847a4794385670c06f4b3fd50c7a8ed3,3337500,Business
254,0x91d08ae4f36afa8f31737ba018faac62cc724760eb7b03164fc3e626d994482a,3337500,Business
255,0x7a9fad17fa7da6f36c1e9df1b5cb36206f23ede733a08fa244acd2c306bbc8db,2390000,Premium
256,0x9100586ffd8a02c2d01a5a375a28930567612e305b5c5785b0da1087c68b8575,3337500,Business
257,0x94633f79dc9e85a9497eea1439b51b432f7a5e20d31cbbdeb4a4bded2f59bdad,3337500,Business
258,0x003fecc737167926b2dedc2a1f43bcc82e5762a5b0eeb01b0409a3f1449e8c51,3337500,Business
259,0x02044a2172ec80d20f70cf9d350956347c9f13874a099018950bc1f9d1775797,3337500,Business
260,0xa4b77d18feec6ea59a131cacc76dccd5e0efc9f49c719b9e07d1732e9978ee33,3337500,Business
261,0xfc5f47d49c063bca89646b2a1c6494a05a102647ad282d7620ddc4d03f9699e4,3337500,Business
